name,team,agents,rounds,rating,ACS,KD,ADR,KPR,APR,FKPR
Obnoks,MOUZ,"['skye', 'sage', 'chamber']",165,0.73,149.9,0.69,104.8,0.53,0.21,0.04
v1xen,NIP,"['viper', 'omen', 'brimstone']",179,0.72,150.9,0.68,98.6,0.53,0.21,0.05
zunba,ONS,"['viper', 'astra', 'omen']",171,0.72,147.9,0.66,97.7,0.51,0.31,0.07
Jonn,RED,"['neon', 'jett', 'reyna']",258,0.72,175.2,0.7,116.2,0.59,0.18,0.12
Jeong Hi,NS,"['astra', 'omen']",130,0.71,148.6,0.61,98.9,0.48,0.23,0.03
Bangnan,DK,"['reyna', 'chamber', 'sage']",121,0.71,152.7,0.69,101.2,0.55,0.15,0.11
Frosty,PK.A,"['killjoy', 'astra', 'brimstone']",213,0.71,153.5,0.72,101.8,0.56,0.16,0.07
Esperanza,DK,"['skye', 'sage', 'cypher']",123,0.7,151.2,0.66,101.3,0.53,0.21,0.07
Delend,47,"['omen', 'viper', 'astra']",138,0.69,140.1,0.55,98.0,0.45,0.31,0.03
Marjes,Ghos,"['viper', 'sova', 'breach']",196,0.69,134.2,0.61,87.2,0.47,0.2,0.07
CyderX,SUP,"['sova', 'omen', 'viper']",120,0.68,129.5,0.54,89.8,0.39,0.32,0.03
Eeyore,PSJ,"['cypher', 'chamber', 'viper']",154,0.68,164.0,0.67,109.7,0.56,0.15,0.07
Chibab,DK,"['jett', 'neon']",124,0.66,173.3,0.67,112.2,0.58,0.14,0.14
GODLIKE,WGS,"['kayo', 'breach', 'skye']",167,0.61,120.3,0.48,81.3,0.4,0.28,0.07
WIX,WGS,"['viper', 'sova', 'chamber']",124,0.61,135.6,0.57,90.8,0.48,0.17,0.06
